,refexp
0,rayon de soleil tout en haut
1,mec au milieu devant
2,coin supérieur droit
3,l'une des quatre personnes à gauche
4,ciel en haut à gauche
6,rochers en bas à droite
7,milieu gauche
9,ciel
10,gens
12,chapeau de cowboy sur le mec à droite
13,ciel
14,arbres à gauche
15,la tour
16,le sable en bas à droite
17,fille
19,ciel
20,serviette sur laquelle elle est allongée
21,le visage de la dame
23,couverture gauche sur le sable
24,chemin de terre
25,gars à carreaux à droite
26,coin inférieur gauche
27,homme en costume de cérémonie
28,ornement de tête
29,personne en jaune à genoux
30,homme marchant avec un costume à carreaux
32,arbre en bas à droite
33,arbre en bas à droite
34,ciel
35,gens
36,arbre à droite
37,parapluie
38,assiette la plus proche de vous
39,tasse par assiette de nourriture que personne ne mange
40,grille de l'arrière à gauche
41,table
42,bouteille de coca sur table
43,chaise vide en haut à droite
44,gens
47,coin tout en bas à droite
48,le nana
50,plat placé juste au-dessus de la tasse
51,nourriture par l'homme main droite
53,visage de femme
54,assiette dans laquelle la femme mange
56,femme à droite assiette avec tous les aliments rouges
57,tasse blanche en bas à gauche
58,l'assiette de nourriture de l'homme la plus proche de lui
60,assiette de nourriture la plus à gauche
61,le visage du mec
63,tache blanche jaune en bas à droite
65,homme de gauche
66,photo au mur
68,assiette la plus proche de la femme
69,sable
70,ombre du crabe sur le sable
71,crabe
72,champ
73,champ
74,le champ
75,centre du champ
76,bâtiment blanc au dessus de la camionette blanche
78,en bas à droite
79,ciel
81,plaque de rue verte
82,ouais
83,des voitures qui ne sont ni la moto ni la camionnette blanche
84,moto
85,panneau
87,rouge
88,arbres à droite
89,voiture blanche à gauche
90,bâtiment en haut à gauche
93,bateau dans l'eau près de la rive centre gauche
95,bateau
96,arbre touffu en haut à gauche
97,bateau droit jaune
98,bateau rouge en bas à gauche
100,des nuages
102,quai
103,bateau blanc dans l'eau à droite
104,maison à gauche près du bateau
106,tronc d'arbre
107,bateau à droite
108,bateau à droite
109,petit immeuble centre gauche
110,quai devant
111,côté droit du lac
112,arbres derrière l'eau
114,ciel
115,arbres à droite
116,balustrade à l'extrême gauche
117,arbre au milieu le plus à droite
118,tronc d'arbre à l'extrême droite
119,tronc d'arbre à l'extrême droite
120,partie gauche de la paroi rocheuse
121,en haut au milieu
122,coin inférieur gauche
123,arbre à droite
124,arbre épais
125,arbre à droite extrême droite
126,personne tout à gauche
127,le visage de l'homme en bleu à droite qui regarde la caméra
128,mec à l'avant dans une chemise bleue
129,visage de femme devant gauche
130,mur
131,les gens à droite
132,femme en noir très devant
133,rideaux à gauche
134,dame en noir
135,mec avec barbiche tête en bas à droite
137,lama deuxième en partant du haut
138,neige avant
139,mouton en haut à gauche
141,animal à l'extrême gauche
142,photo en haut à droite
143,petit lama troisième à partir de la gauche
144,lama avant
145,cendrier à l'avant
146,bouteille de ketchup
147,jupe à carreaux
150,ketchup à droit
151,bouteille de coca vide
152,gars à table à droite
153,bouteille de ketchup
154,ketchup
155,la bouteille de ketchup
156,étagères noires en haut à gauche le deuxième deux à partir de la gauche et de l'espace mural
157,ketchup
158,la bouteille brune la plus à gauche
159,en haut à gauche
160,femme se grattant la tête
161,table
162,ketchup
164,ketchup
167,ketchup
168,deuxième tabouret en partant de la droite
169,tabouret en bas à droite
170,personne en blanc
171,troisième tabouret vide
172,fille chemise noire centre
173,personne en bleu au milieu à gauche
174,signe supérieur
176,quatrième tabouret complet en partant de la gauche
177,femme d'extrême droite en blanc
179,troisième tabouret en partant de la droite
180,bouteilles d'eau à gauche
181,homme en chemise blanche à l'extrême droite
182,boissons en haut à droite
183,personne en blanc tout à droite
184,tabouret troisième à partir de la droite
185,chemise blanche personne à l'extrême droite
186,troisième tabouret en partant de la droite
187,cannettes à droite
188,troisième personne en partant de la gauche
189,le tabouret inoccupé le plus à gauche
190,quatrième tabouret en partant de la droite
191,chaise deuxième en partant de la gauche
193,ciel voiture rouge
194,montagne à gauche
196,ciel
198,mur d'extrême droite
199,ciel
200,rouge
201,sol en bas au milieu
202,rochers en bas à gauche
203,pneu avant
204,ciel
205,roue la plus à gauche
206,l'eau
207,des arbres
208,des arbres
209,ciel
210,papier de droite sur le bureau
211,chaise
212,tableau
213,table
214,table
215,papier sur le coin de la table plus près du milieu
216,table seulement
217,table
218,papier dans le coin supérieur droit du bureau
219,feuille avec téléphone dessus
221,table
222,table
223,mur
225,papier blanc bord de bureau
226,téléphone portable au dessus
228,divers trucs dans l'étagère tout en haut
229,papier au centre du mur
230,le magazine entre les mains des gars
231,femme
232,papier blanc accroché au mur centre au fond
235,poteau en bois
237,fenêtre en haut à droite
238,coin inférieur gauche
240,homme
241,calendrier au mur
242,hamac
243,haut vert
244,deux personnes à gauche
245,l'une des personnes dans le panneau en haut regarde des araignées
247,d'accord donc il y a un homme à droite accroupi clique sur son sac d'araignées
249,arbres en arrière à gauche
250,sable
252,sac à dos droit au sol
253,herbe à gauche
254,la chose tenue par l'homme assis à droite
255,le coin supérieur droit
256,trois personnes
258,chose blanche avec l'homme assis à droite
259,personne à gauche
260,panneau
261,les feuilles en haut à droite
262,gens
263,gars de gauche
264,homme
265,homme
267,homme
268,canapé à l'extrême droite
269,homme
270,rideau
271,femme
272,homme
273,en bas à droite
274,le coin supérieur droit
275,voiture
277,grande maman à droite
278,sol
279,visage de fille du milieu
280,visage droit femme
281,centre de dame
282,porte à gauche
283,cliquez sur grand-mère sur le visage de gauche
284,grand-mère gauche
286,faire face à la personne du milieu
287,briques gauches
289,sol
290,dame avec pull gris
291,femme en chemise blanche
292,ciel
295,route
296,mur à droite
297,trottoir
298,des arbres
299,trottoir
300,trottoir
301,route seulement
302,route
303,vélo
304,roues
305,vélo
306,des buissons
307,roues sur le vélo
308,ciel
309,roues de vélo
310,roues de vélo
311,vélo
312,motard
313,gravier en bas
314,fenêtre quadrillée en bas à gauche
315,fenêtre en haut à droite avec rebord vert
316,fenêtre à volets marron milieu gauche
319,fenêtre en bas à droite
320,mot rouge hôtel rodulu sur panneau blanc
321,ciel en haut à gauche
323,en haut à droite désolé
324,fenêtre dorée en haut à gauche
325,le ciel en haut à gauche - très petite section de la photo
326,bâtiment de gauche
328,fenêtres du milieu du bâtiment gauche un
329,hôtel rodulu
330,bâtiment à l'extrême droite
331,super
332,fenêtre droite du deuxième étage
333,fenêtre au-dessus de l'enseigne de l'hôtel de porte
334,super signe à droite
335,en haut à gauche
336,fille droite deuxième rangée
337,mec à lunettes à l'arrière-plan à droite
338,main
339,personne de gauche
340,cheveux roux
342,fenêtre à l'extrême droite
343,dame en gilet rouge
344,île à gauche
346,les petites trucs debouts au premier plan
347,île à gauche
348,l'eau
349,colline dans le lac à gauche
350,ciel
351,île
352,terre du côté gauche flottant
354,corps à l'extrême droite
357,mur
358,squelette au milieu avec une robe marron foncé/clair
359,crâne blanc en bas à gauche
361,fenêtre au milieu tout à droite
364,milieu
365,coin inférieur gauche de la voiture
367,voiture à droite
368,voiture rouge à gauche
369,personne qui marche
370,eau à droite
371,eau tout en haut à gauche
372,haut de la ville
374,rouge autour du lac
375,bâtiment au premier plan
376,bateau à gauche
377,ciel
378,coteau à gauche
379,gens
380,l'eau
381,herbe
382,ciel
383,vert en bas droit
384,montagne
385,fille du milieu
386,personne à gauche
387,fille au milieu
388,fille à l'extrême droite
389,fille tenant une assiette
390,mur
391,fille au milieu
392,nana milieu
393,femme penchée en arrière à gauche
394,désolé :/ mec debout à droite
395,mec assis dans la piscine par femme
398,fille penchée dans l'eau
399,a gauche la plupart des personnes
400,en haut à droite vert
401,nana le plus à gauche
402,gars de gauche sur la zone supérieure
403,le rebord sur lequel se trouvent les 2 hommes et une femme
404,fille en bas
405,eau blanche
406,nageur tout à droite
407,personne s'étirant vers la gauche
408,rive de la falaise sur le côté inférieur
409,eau sur la moitié gauche
410,arbres en haut à gauche
411,visage d'homme à droite
412,la chose dans le bras droit des gars de la caméra
413,homme sur le bord droit
414,homme en chèques à droite
418,le visage du gars à droite
420,personne à droite
421,personne qui est à moitié hors de l'image à gauche
423,rose
424,ciel
426,l'homme fait face à l'extrême droite
427,milieu de rocher
428,mec tout à droite
429,face à l'extrême droite
430,personne la plus à droite
431,seconde à partir de la face gauche
432,oeuf machin sur la serviette
433,le visage de l'homme à droite
434,deuxième face en partant de la droite
435,personne appareil photo sac à dos cheveux blonds
436,appareil photo noir
438,verre presque touchant
440,lunettes de soleil sur la tête
441,visage de femme à gauche
442,garçon le plus à droite
444,ciel
445,bas
447,montagne
448,bas
449,lit
451,laisse le côté gauche de couleur vert clair
453,banc sur le côté droit de la chemise verte brodie
454,les gens assis à l'arrière du centre mec jaune
457,personne au fond avec la jambe pliée regardant vers la caméra
458,ciel
460,banc d'extrême gauche
461,ciel à droite
463,mec au milieu assis sur le banc
464,coin en bas à droite
467,chauve en raison
468,chemise gars dos droit rose-rouge
470,arbres en haut à droite
471,sable
473,l'eau
474,front de sable
476,l'homme devant
477,ciel
478,sable
479,bas
480,le mec au milieu
481,la plage en bas
482,Haut
483,table
484,personne
485,assiette
486,rochers
487,herbe au milieu à droite
488,ciel
489,montan
490,montagnes
491,fond de roches rouges
492,centre des montagnes rouges
493,ciel en haut à gauche
494,en blanc*
495,mec en bas à droite
496,des arbres
497,gazon
498,ciel
499,arbres à droite
500,l'eau
501,arbres à gauche
502,ciel
503,naviguer
504,haut de l'image
505,l'eau
507,Montagnes enneigées
509,couche mince du ciel très haut
510,tout ce qu'il y a dans l'eau tout au fond
511,ciel tout en haut
512,arbres big foot se cache dans
513,personne tenant un sac
514,ciel
515,statue
516,short blanc dame
517,fille en short blanc
518,personne en short blanc à gauche
519,mec en blanc en bas à droite
520,homme à gauche prenant des photos
521,jupe rouge
522,l'eau
523,le truc de l'opéra australien
524,ciel
525,fenêtre centrale
526,gens
527,briques rouges devant
528,gazon
530,le coin supérieur droit
531,escaliers
533,quel gars du forum
536,nuage en haut à gauche
538,montagne
539,ciel bleu
540,des arbres
541,noir
542,moto
545,la montagne à gauche
546,ciel
547,l'eau :)
548,ciel
549,montagne enneigée
550,neige
551,tout en bas à droite
552,fenêtre du milieu en bas
553,trois fenêtres à l'extrême gauche
554,n'importe quelle partie de la maison
555,fenêtre en bas à gauche
556,grands buissons
557,la fenêtre
558,la troisième fenêtre en partant de la gauche jusqu'en bas
559,fenêtre en haut à gauche
560,la maison
561,ciel milieu haut
562,fenêtre supérieure du milieu
563,le visage de la personne à une écharpe arc-en-ciel
564,montagne au loin
565,neige devant
567,trucs blancs au milieu
568,ciel
569,peinture de vache sur le mur
570,en bas à droite
572,chaise d'extrême droite
573,n'importe où sur la table
574,table
578,mur
579,table
580,table
581,cheminée
582,table
583,gens
584,table
585,recadrage foncé en haut à gauche
