	refexp
0	sunray at very top
1	guy in the middle in front
2	upper right corner
3	any of the four people on left
4	sky top left
6	rocks bottom right
7	left middle
9	sky
10	people
12	cowboy hat on the dude on the right
13	sky
14	trees on left
15	tower
16	the sand in the bottom right corner
17	girl
19	sky
20	towel she is laying on
21	the lady's face
23	left blanket on sand
24	dirt path
25	plaid guy right
26	bottom left corner
27	man in ceremonial costume
28	head ornament
29	fperson in yello kneeling
30	man walking in a checkered suit
32	tree bottom right
33	tree bottom right
34	sky
35	people
36	tree on right
37	umbrella
38	plate closest to you
39	mug by plate of food noone is eating
40	grate in back to left
41	table
42	coke bottle on table
43	empty chair upper right
44	people
47	very bottom right hand corner
48	the chick
50	dish placed just on top of mug
51	foood by man right hand
53	woman's face
54	plate woman is eating from
56	right woman plate with all red food
57	white cup on left bottom
58	man's plate of food closest to him
60	plate of food furthest to left
61	dude's face
63	yellow white spot bottom right corner
65	man of left
66	picture on wall
68	womans plate nearest her
69	sand
70	shadow of the crab on the sand
71	crab
72	field
73	field
74	field
75	field center
76	white building over white van
78	bottom right
79	sky
81	green street sign
82	yep
83	cars that arent the motocycle or white van
84	motorbike
85	sign
87	red
88	trees right
89	white car left
90	building top left
93	boat in water near shore left center
95	boat
96	bushy tree left top
97	yellow right boat
98	red boat bottom left
100	clouds
102	dock 
103	boat white in water right
104	house on the left near boat
106	tree trunk
107	boat on the right
108	boat on right
109	little building center left
110	dock in front
111	right side of lake
112	trees behinf water
114	sky
115	trees on right
116	railing on far left
117	mid tree most right
118	tree trunk far right
119	far right tree trunk
120	left part of rock wall
121	top middle
122	bottom left corner
123	tree on right
124	thick tree
125	tree on right far right
126	person all the way left
127	the face of the man in blue on the right who is looking at the camera
128	guy up front in a blue shirt
129	womans face in front left
130	wall
131	people right
132	woman in black very front
133	curtains on the left
134	lady in black
135	guy with goatees head lower right
137	lamaa second from the top 
138	front snow
139	top left sheep
141	animal on far left
142	top right pic
143	little llama third from left
144	front llama
145	ash tray up front
146	bottle of ketchup
147	plaid skirt
150	ketchup right
151	empty coke bottle
152	guy at table on right
153	ketchup bottle
154	ketchup
155	the ketchup bottle
156	"black ""racks"" top leftthe 2nd 2 from left & wall space"
157	ketchup
158	the leftmost brown bottle
159	top left conter
160	woman scratching her head
161	table
162	ketchup 
164	ketchup
167	ketchup
168	second stool from the right
169	bottom right stool
170	person right in white
171	3rd empty stool
172	girl middle black shirt
173	person in blue middle left
174	top sign
176	4th full stooltop from the left
177	woman far right in white
179	third stool from right
180	bottles of water on the left
181	man in white shirt far right
182	drinks on top right
183	person in white all the way on right
184	stool third from right
185	white shirt person on far right
186	3rd stooll from the right
187	cans on right
188	third person from the left
189	the left most unoccupied stool
190	fourth stool from right
191	chair 2nd from left
193	sky car red
194	mountain left
196	sky
198	far right wall
199	sky
200	red
201	bottom middle ground
202	rocks bottom left corner
203	tire front
204	sky
205	leftmost wheel
206	water
207	trees
208	trees
209	sky
210	right paper on desk
211	chair
