	refexp
0	seal
2	bottom left corner
3	kid
4	dirt ground
5	the sky
6	man in red sweater
7	man in red
8	red guy
9	brown dirt to the right
10	truck doors
11	dude in red
12	guy in black jacket first
13	red shirt right side
14	man in middle front
15	grass on left
17	my bad the people
18	red guy
19	bushes left side of people
20	white mountain far right
22	sky
23	man in red
24	man on the right
25	bottom right con\rner
26	plane
29	the gross center
30	no left
31	tree on right
32	bottom left
34	open most sky in the center
35	wow blue sky middle
36	sky top left
37	man
39	water
40	tree on left
41	guy
42	tree most left
44	sports ball in hand
45	door
46	flowers on left
47	pot only right
48	potted plant to the left
49	plant right
50	brick ground
51	man on right
52	the guy that might be about to take a picture
53	far right guy
54	person far left
55	second person from left
56	far right person
57	person to the far right
58	thin guardrail
59	top
60	guy furthest to the right
61	second person from the right
62	ground bottom
63	dude right
64	guy in blue person that is second from right
65	middle bottom plate of food
66	any of the people on the right
67	whole table
68	table
69	orange bottle in front
70	plate on bottom of photo in the center with food on it
73	plate of food on the front left
75	table
76	full shot glass right front
77	table middle
78	empty white plate bottom
80	orange wall right side
82	table
83	table
84	top left corner
85	you had that :( first beer bottle on table
86	window upper right corner
87	window
88	very front plate middle
89	table
93	food on table second person on left
94	people left
95	plate left front girl
96	top right curtain
97	white empty plate
98	bottom right
99	left wall
100	window back wall
101	wall on the left
102	right wall
103	windows on left wall
104	papers on wall to the left
105	center wall
106	white shirt
108	ground to left
109	woman reaching for bucket
110	stander pink shirt
112	window on back wall with red and yellow
113	tallest cactus
114	smaller cactus on left
115	sky
116	hills in the distance
118	people
119	hat far left
122	hat of guy on right
123	hat on person wearing white
124	the sky top left
125	hat of far left person
126	hat on the guy in white
127	people
128	shrub far right
129	persons hat on left
130	dark area on right side
131	hat of the man in the blue shirt
132	people
133	hat of person on left  hi joan dude here
134	green grass at right
135	funny hat far left
136	shrub all the way right dead center
137	sky in archway over heads
138	plant all the way to the right camo'd hardcore
139	arch
140	left most side
141	chair lower right
142	green jeans
143	chair o right closest to him
144	table
145	table
146	blue wall
147	big middle tray
148	bottle
149	right cup
150	man
151	gold shrine
152	bottom right window
153	brick wall bottom right
154	lower right window
155	lower windows on teh building far right
156	people
158	window up right
159	bottom right windows
160	brick walkway
161	window on bottom
162	right side of yellow building
163	water
164	greenery
165	any mountain
166	rocks in the center
167	man in black jacket
168	the fence all the way on the right
171	ground
172	post on right
173	purple person
174	red sweater
175	ground
176	sky in upper right corner
178	mountain
179	tree
180	sand
181	leafs on ground
182	cloud
183	boat in harbor
184	sky on the left side baby blue no clouds
185	mid to rt low people
186	middle palm tree
188	first tree
189	green sign upper level right
190	yep
191	ad of woman on wall far left upper
192	escalator
193	top of the first palm tree
195	vertical railing column far left side
196	people top left
