,refexp
0,phoque
2,coin inférieur gauche
3,enfant
4,terre battue
5,Le ciel
6,homme en pull rouge
7,homme en rouge
8,mec rouge
9,saleté brune à droite
10,portes de camion
11,mec en rouge
12,mec en veste noire en premier
13,chemise rouge côté droit
14,homme au milieu devant
15,herbe à gauche
17,mon mauvais les gens
18,mec rouge
19,buissons côté gauche des gens
20,montagne blanche à l'extrême droite
22,ciel
23,homme en rouge
24,homme à droite
25,coin en bas à droite
26,avion
29,le centre brut
30,pas de gauche
31,arbre à droite
32,en bas à gauche
34,ouvrir la plupart du ciel au centre
35,wow ciel bleu milieu
36,ciel en haut à gauche
37,homme
39,l'eau
40,arbre à gauche
41,mec
42,arbre le plus à gauche
44,ballon de sport en main
45,porte
46,fleurs à gauche
47,pot seulement à droite
48,plante en pot à gauche
49,plante à droite
50,sol en brique
51,homme à droite
52,le gars qui pourrait être sur le point de prendre une photo
53,mec d'extrême droite
54,personne à l'extrême gauche
55,deuxième personne en partant de la gauche
56,personne d'extrême droite
57,personne à l'extrême droite
58,garde-corps mince
59,Haut
60,le gars le plus à droite
61,deuxième personne en partant de la droite
62,fond de terre
63,mec droit
64,gars en bleu personne qui est deuxième à droite
65,assiette inférieure intermédiaire de nourriture
66,l'une des personnes à droite
67,table entière
68,table
69,bouteille orange devant
70,assiette en bas de la photo au centre avec de la nourriture dessus
73,assiette de nourriture sur le devant gauche
75,table
76,verre plein avant droit
77,milieu de table
78,fond d'assiette blanche vide
80,mur orange côté droit
82,table
83,table
84,coin supérieur gauche
85,tu as eu ça :( première bouteille de bière sur la table
86,coin supérieur droit de la fenêtre
87,la fenêtre
88,très milieu de plaque avant
89,table
93,nourriture sur table deuxième personne à gauche
94,les gens sont partis
95,plaque avant gauche fille
96,rideau en haut à droite
97,assiette vide blanche
98,en bas à droite
99,mur gauche
100,mur du fond de la fenêtre
101,mur à gauche
102,mur de droite
103,fenêtres sur le mur de gauche
104,papiers sur le mur à gauche
105,mur central
106,chemise blanche
108,sol à gauche
109,femme atteignant pour seau
110,chemise rose debout
112,fenêtre sur le mur du fond avec du rouge et du jaune
113,le plus grand cactus
114,plus petit cactus à gauche
115,ciel
116,collines au loin
118,gens
119,chapeau à l'extrême gauche
122,chapeau de mec à droite
123,chapeau sur une personne vêtue de blanc
124,le ciel en haut à gauche
125,chapeau de personne d'extrême gauche
126,chapeau sur le gars en blanc
127,gens
128,arbuste à l'extrême droite
129,chapeau de personnes à gauche
130,zone sombre sur le côté droit
131,chapeau de l'homme à la chemise bleue
132,gens
133,chapeau de personne à gauche salut joan mec ici
134,herbe verte à droite
135,chapeau drôle à l'extrême gauche
136,arbuste tout droit point mort
137,ciel dans l'arche au-dessus des têtes
138,planter tout le chemin à droite camo'd hardcore
139,cambre
140,côté le plus à gauche
141,chaise en bas à droite
142,jean vert
143,chaise à droite la plus proche de lui
144,table
145,table
146,mur bleu
147,grand plateau intermédiaire
148,bouteille
149,tasse à droite
150,homme
151,sanctuaire d'or
152,fenêtre en bas à droite
153,mur de briques en bas à droite
154,fenêtre en bas à droite
155,fenêtres inférieures sur le bâtiment à l'extrême droite
156,gens
158,fenêtre en haut à droite
159,fenêtres en bas à droite
160,passerelle en briques
161,fenêtre en bas
162,côté droit du bâtiment jaune
163,l'eau
164,verdure
165,n'importe quelle montagne
166,rochers au centre
167,homme en veste noire
168,la clôture tout à droite
171,sol
172,poste à droite
173,personne violette
174,pull-over rouge
175,sol
176,ciel en haut à droite
178,montagne
179,arbre
180,sable
181,feuilles au sol
182,nuage
183,bateau dans le port
184,ciel sur le côté gauche bleu ciel pas de nuages
185,personnes au milieu à basses
186,palmier du milieu
188,premier arbre
189,panneau vert niveau supérieur droit
190,Ouais
191,annonce d'une femme sur le mur en haut à gauche
192,escalier mécanique
193,sommet du premier palmier
195,colonne de garde-corps verticale à l'extrême gauche
196,les gens en haut à gauche
197,deux lumières au milieu du plafond
198,premier arbre
199,palmier au centre loin
200,les lumières en haut à droite
201,photo accrochée au raiing à gauche
202,premier palmier
204,l'arbre le plus éloigné devrait être le troisième en arrière
205,palmier avant
206,lumières au centre du plafond
207,fond de signe rectangle lumineux
208,grand placard pour nous
209,drapeau à droite
210,deux personnes à droite de l'arbre du milieu en bas
212,premier palmier plein
214,personnes au centre gauche homme en orange
215,arbre le plus proche de la caméra
216,groupe de personnes à gauche au deuxième étage
218,la ligne de 4 lumières au plafond
219,affiche à l'extrême gauche tout à gauche regarde de près
220,grand arbre devant
221,banc marron près de l'arrière de la camionnette (marron)
222,eau à gauche
223,camionnette blanche
224,camionette
225,buissons à droite
228,arbre à droite
229,il contient beaucoup de monde
230,radeau jaune
231,camionette
232,aller au milieu
234,le coin droit
236,zone herbeuse en bas de la photo
237,camionette
238,camionnette blanche
239,camionnette blanche
240,camionnette blanche
241,espèce de panier en bois gauche
244,sur la droite
245,sol
246,ciel
247,avion
248,pneu avant le plus proche de nous
249,drapeau à droite
250,tour gauche structure
251,troisième drapeau à gauche
252,drapeau à l'extrême droite
253,ciel
254,drapeau vert
255,parties blanches
256,gazon
257,drapeau de droite
258,troisième drapeau
259,drapeau le plus à droite
260,drapeau à l'extrême droite
261,drapeau blanc le plus près du côté droit
263,Roche
264,ciel
265,gros nuage
266,gens
267,type de chemise marron à droite
268,mec chemise vert clair sur la droite
269,personne s'appuyant sur une clôture en jean bleu
270,gars chemise verte
271,arbre
272,brun de premier plan
273,femme à gauche
274,mec en marron à droite
275,herbe verte à droite
276,ciel très bas faisant partie du ciel clair
277,terre la moitié inférieure
278,arbre à l'extrême gauche
279,le gars le plus à gauche
280,homme sur rt camion le plus proche
281,un camion
282,deuxième homme à droite
283,mec en jean bleu à droite
284,mur
286,groupe de personnes
288,ciel
289,ciel
290,la partie rouge de la voiture seulement
292,un camion
293,grand arbre à gauche
294,feux à gauche
296,lampes à droite
297,couple
298,avant bas du peuple
299,Fontaine
300,le ciel noir
301,bâtiment
302,chaise de fleurs
303,chari en bas à gauche
306,chaises à droite
307,sol en bas à droite
309,fleur au milieu à gauche
311,lustre en haut à droite
312,la fenêtre
314,la chaise de la femme en bleu clair
316,chose sur table avec couvercle noir
318,chaise en osier la plus à droite
319,troisième chaise en osier à droite
320,chaise sur laquelle est assis le gars en t-shirt bleu
321,mec en marron à droite
322,fenêtre à barreaux sur le mur de gauche
323,haut de table
324,chaise à droite près du mur
325,zone sombre en haut de l'image au milieu
326,buisson vert dans le coin supérieur gauche
327,table à gauche
328,chaise arrière droite
331,porte à droite
332,zone de brique sur le bord droit
333,chaise milieu chemise jaune
334,chaise arrière gauche gars en chemise jaune
335,mur jaune
336,troisième chaise à partir de la droite avec l'homme en jaune
338,extrême gauche
339,chaise chemise jaune
340,pot avec fleurs bord avant de la photo
341,la petite assiette que tient la fille à la chemise rouge
342,chaise vide au milieu
346,centre de chaise avec homme assis beige
348,chaise de gars en chemise jaune
349,base de la plante à gauche
350,chaise poussée à fond de l'autre côté droit de la table
351,chaise vide circulaire la plus à droite
352,chaise circulaire vide à droite
353,gens
355,mais le contour l'a gribouillé
357,les gens laissent
358,groupe de personnes à droite
359,on dirait la Floride
360,texte sur signe
361,ciel
362,plaque d'herbe gauche la plus proche de la route
363,toit
365,n'importe quelle route
366,des arbres
367,oiseau à gauche
368,oiseau à gauche
369,un à droite
372,ciel
374,arbres à droite
376,statue
377,milieu
378,fond de terre
379,herbe à gauche
380,quatrième bâtiment en partant de la droite
381,non la gauche
382,ciel
383,maison gauche
384,cabane deuxième en partant de la droite
386,cabane la plus à gauche
388,chose triangulaire à gauche
389,l'eau
390,bâtiment le plus à gauche
391,la cabane la plus à gauche
392,maison à l'extrême droite
393,cabane au milieu à gauche
394,plante verte en bas à droite
395,la montagne là-bas
396,buisson blanc à gauche
397,ciel
399,arbuste en haut à gauche au milieu
400,signe jaune
401,en bas à gauche
